text,label
"['강성범', '자식', '연예계', '퇴', '출시', '케', '야', '되다']",0
"['그렇게', '안', '보다', '상황', '판단', '그렇다', '안되다']",0
"['이재명', '당선', '되다', '박살', '안', '난대', '요', '공산주의', '화', '빈부격차', '되다', '더', '커지다', '랏돈', '받다', '살다', '근로', '의사', '없다', '국민', '양산', '시키다', '같다', '더', '걱정', '이다', '정치성향', '이야', '개인', '적', '취향', '이라', '이해', '하다', '한때', '방송', '에서', '유명하다', '분', '분별', '력', '과', '판단력', '약해지다', '같다', '안타깝다']",0
"['시부', '리지', '말고', '찌그러지다']",0
"['욕설', '유도', '고', '소용', '돈벌이']",0
"['그냥', '맛', '가다']",0
"['ㅋ', '잡', '을', '놈', '들다', '잡아넣다', '이나라', '꼴', 'ㅜㅜ']",0
['밉다'],0
"['머', '야', '갑작', '튀어나오다', '관심', '받다', '모양', '이네']",0
"['전라', '대', '깨', '표본', '강냉이', '강성범', 'ㅋㅋ', '진짜', '꼴갑', '떤다']",0
"['이나', '라이미', '박살', '나다', '성', '범', '그렇다', '살다']",0
"['오다', '연예인', '거의', '다대', '깨물다', '얘', '네', '쉬다', '돈버', '데', '공평하다', '세금', '열', '배정', '도', '때리다']",0
['얜또왜이려'],0
"['개그', '가안', '먹히다', '정치', '판', '에', '기웃기웃']",0
"['좌파', '답', '없다', '드', '라', '거짓', '날조', '펴다', '라', '잇다']",0
"['이구만', '코', '메다', '가문', '닫다', '정치', '판', '에', '빌붙다', '살기', '로', '하다']",0
"['절', '라', '인민', '많이', '보다', '성공하다']",0
"['성', '범', '밥줄', '끊기다', '겁나다', '주접', '그만', '떨다']",0
"['먹고살다', '힘드다', '가왜', '저러다']",0
"['코', '메다', '하다', 'ㅋㅋㅋ', '직업', '에', '충실하다']",0
['방송'],0
"['강성범', '스키', '강물', '에', '빠지다', '지', '뿔', '지', '저런', '스키', '를', '좋아하다', '내', '빰', '따귀', '를', '갈다', '기다', '개그맨', '이면', '개그맨', '답', '게', '해', '라', '자석']",0
"['강성범', '고맙다', '비호감', '컨셉', 'ㅋㅋ']",0
['불쌍하다'],0
"['얘', '예전', '에', '대리', '운전', '광고', '다가', '뭐', '잘못', '하다', '퇴', '추다', '되어다', '애', '잖다']",0
"['안', '보이다', '이유', '있다', 'ㅉㅉ']",0
"['니', '밥그릇', '박살', '날다', '걱정', '되다', '솔직하다', '깔다', '고향이']",0
"['적폐', '적', '폐하', '데', '실체', '를', '밝히다', '적', '폐가', '있다', '실체', '도', '없다', '가지', '고적', '폐', '라고', '주장', '면서', '친', '정부', '경찰', '친', '정부', '무능', '검찰', '친', '정부', '법원', '까지', '3', '권', '분립', '훼손', '하고', '언론', '중재법', '개정', '으로', '언론통제', '까지', '하다', '민주당', '딱', '끄다', '리가', '떠들다', '기다']",0
"['본인', '머', '가리다', '박살', '난건', '왜', '모르다', 'ㄷㄷ']",0
"['피임', '중요성']",0
"['이런', '스', '으레', '기', '몰다', '내야', '나라', '산다']",0
"['이미', '재인', '박살', '내다', '꼴값', '좀', '그만', '떨다', '너', '이르다', '느그', '부모님', '아시냐', 'ㅉㅉ']",0
"['이런', '놈', '얘기', '도', '들다', '야하다']",0
"['역시', '잡것', '그', '수준', '구먼']",0
"['죄명', '대통령', '되다', '국민', '나', '라팔', '먹다', '껄']",0
"['지금', '살기', '좋다', '성', '범', '아더', '박살', '날', '게', '있다', '꼴']",0
"['촛불', '도', '아니다', '꺼지다', '하다', '없다', '본업', '에', '충실하다', '웃음', '을', '좋다']",0
"['니', '개그맨', '하다', '짜증나다']",0
"['차다', '시끄럽다']",0
"['또', '발작', '이네']",0
"['니', '박살', '나', '겠다']",0
"['이런', '개', '공인', '이라고', '뚫리다', '입', '이라고', '아무', '말', '이나', '씨부리다', '썪', '내', '가진동', '을', '하다', '다물다', '재앙', '로', '망하다', '어떻다', '할기다']",0
"['강성범', '너', '쓰레기', '인', '진작', '알다']",0
"['성', '범', '일', '떨어지다', '고생', '다', '밥', '먹고다']",0
"['이런', '인간', '까지', '설치다', '보다', '윤석열', '이기', '나부', '네']",0
"['세', '상이', '어떻다', '돌아가다']",0
"['개', '같다']",0
"['강성범', '씨', '생기다', '놓다', '가마솥', '에', '홍어', '랑', '넣다', '하루', '종일', '꼬', '고', '싶다']",0
"['말다', '컷', '네']",0
"['장가', '나', '가라', '꼴똥']",0
"['놈', '도', '이상하다', '돌아가다', '불쌍하다']",0
"['예나', '지금', '이나', '댕', '가문', '제구', '나']",0
"['개그', '하다', '정도껏해', '야', '웃다', '입', '만', '살아가다']",0
"['그렇다', '더럽다', '지저분하다', '문재인', '정권', '박살', '나야', '지', '조국', '크다', '보탬', '하다', '이재명', '인', '말', '안해', '도', '알다', '소설', '쓰다', '추미애', '한테', '도', '감사', '새술', '새', '부대', '에']",0
"['엉뚱하다', '개그', '그만하다', '너', '잘', '하다', '전철역', '이나', '외우다', '보다', '노선도', '많이', '생기다', '그거', '하고', '있다', '세월', '자다', '갈다']",0
"['그', '럼', '양', '아치', '가하다', '괜찮다']",0
"['니', '얼굴', '을', '박살', '내다', '저러다', '개그', '프로', '없어지다']",0
"['진짜', '싫다']",0
"['넘다', '말실수', '하고', '한동안', '흔', '적도', '없다', '또', '시작', '하다', '윤석열', '가다', '선정', '되다', '놀라다', '전과', '4', '범', '이선정', '된거', '아무렇다', '않다', '가보다', '개그', '프로', '폐지', '되다', '정치', '판', '으로', '슬며시', '나오다', '교수', '정치', '판', '으로', '들다', '락', '거리', '도', '보기', '싫다', '연예인', '정치', '색', '짙다', '발언', '도', '꼴불견', '이다']",0
"['잠깐', '가다', '보다', '네', '강성범', '이이해', '다그', '많다', '광고', '많이', '벌', '어', '라']",0
"['졸라', '도', '출신', 'ㅋㅋ', '답나오쥬']",0
"['차다', '불쌍하다']",0
"['강성범', '너', '주제', '를', '알다', '깜', '도', '안되다', '무슨', '소리', '냐']",0
"['화이팅', '하다']",0
"['거', '완전', 'ㅁㅣ', '치', 'ㄴㅓㅁ', '이네']",0
"['인간', '명예훼손', '으로', '감방', '보내다', '발해', '야하다', '아니다', '좌파', '자다', '고발', '하다']",0
"['진짜', '보기', '안쓰럽다', '쯧', '쯧쯧']",0
"['죄명', '특검', '해', '라', '윤석열', '특감해', '라']",0
"['건방지다', '놈']",0
"['개콘', '부활', '시키다', '이런', '백수', '들이다', '좀', '시키다', '돈벌이', '없다', '애', '미치다', 'ㅉㅉㅉ']",0
"['이런', '걸', '3', '류', '인간', '사라지다', '신의정', '체성', '을', '알리다', '노이즈마케팅', '이라고', '다지', '금보', '다', '나라', '가다', '박살', '나', '겠다']",0
"['ㅡ', '강성범', '인', '간다', '오다', '편', '양성', '있다', '발언', '심각하다', '인간', '느', '추하다', '바늘', '로', '주둥이', '꿰', '메라']",0
"['놈', '유툽', '에서', '폭파', '당', '해보다', '정신차리다']",0
"['이재명', '되다']",0
"['ㅋㅋ', '인마', '거', '개그맨', '맞다', 'ㅋ']",0
"['그냥', '개그맨', '만', '하다']",0
"['저', '질', '코미디언']",0
"['뭐', '야', '한심하다']",0
"['주둥이', '로', '흥', '한자', '주둥이', '로', '망하다']",0
"['재', '명', '아이', '넘다', '정신병원', '에', '좀', '치다', '넣다']",0
"['김죄', '동이', '처럼', '뜰', '라고', '발버둥치다', '그만큼', '돈', '도', '못', '벌다', '미화', '누나', '처럼', '억대', '연봉', '위원장', '도', '못', '되다', '더', '더욱', '날뛰다', '촉새']",0
"['빨치산', '전', '위대', '됫', '군']",0
"['제', '동이', '급', '되다', '개그맨', '욕먹다']",0
"['애쓰다', '돈', '버느', '라', '불쌍하다', '조국', '보다', '못', '놈']",0
"['즈', '입장', '에선', '박살', '나', '늘다', '온갖', '비리', '구리다', '곳', '다', '파헤치다']",0
"['야', '강성범', '벌써', '박살', '나다', '보지', '않다', '문재인', '씨', '부동산', '투기', '로', '한강', '맨션', '아파트', '30억', '올랐어장난해원자재값폭등도대책없이문재인씨업적이야인건비폭등까지물가가고무줄이됐어이양반아']",0
"['저', '원숭이', '어떻다', '좀', '조', '지다', '없다']",0
"['이또', '라이', '야', '꼴깝', '하고', '있다', '도', '사람', '이라도', '조댕', '이다']",0
"['지하철', '노선도', '나', '외우다', '그', '머리', '로', '그것', '밖에', '하다', '덥다']",0
"['인간', '또뭐', '인간', '이여', '거', '혹시', '아니다', '조금', '만', '기다리다', '정권', '교체', '곧', '되다', '박살', '안나', '멀다', '어쩔', '래']",0
"['너', '그', '동', '안지은', '죄', '많다', '그렇게', '겁', '먹다', '정상', '적', '이고', '상식', '적', '으로', '살아오다', '사람', '아무렇다', '걱정', '없이', '윤석열', '을', '환영', '다', '구']",0
"['얘', '또왜', '이러니', 'ㅉ', '이재명', '되다', '박살', '을', '더하다', '망하다', '놈', '생각', '다르다', '니', '생각', '을', '정답', '인', '냥', '떠들다']",0
"['이런', '얘', '까지', '이나라', '코', '메다']",0
"['맛', '한참', '가다', 'ㅉㅉㅉ']",0
"['여기', '서다', 'ㅍㅎㅎ']",0
"['찌질', '뭐', '놈', '인데', '기사', '를', '써주다', '그렇다', '그냥', '무시', '면', '되다']",0
"['지금', '여당', '패거리', '딱', '그', '짓', '하고', '있다', '나로', '남', '불법', '과', '원칙', '을', '무시', '위법', '해위', '이적', '행위', '국민', '오죽하다', '추미애', '강력', '추천', '하다', '급하다', '만들어지다', '미완성', '윤석열', '을', '지지', '하다', '요', '여당', '가슴', '깊다', '반성', '해', '야합', '니', '다']",0
"['눔', '돌다', '낭']",0
"['큰일', '나다', '무섭다']",0
